Time [s],Latitude [deg],Longitude [deg],Altitude [m],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
16.4,-0.000685162251111991,-0.00488575308064727,0.0236419678469798,-111.336634304385,-3.23406189690338,-0.00160717748659067,-0.00493356165594697,0.000826732937487579,-178.336163033765
16.6,-0.000880885630448473,-0.00485229737648487,0.0236212443074036,-104.274413549644,40.3108037446569,0.00181071234395347,-0.00493160713881508,-0.000928004003824331,158.86430342758
16.8,-0.00105989406081951,-0.00474345367252199,0.0229418662881543,-93.1367833534845,79.6265272134094,0.00486928745378634,-0.00486042464081011,-0.00227681440188637,139.471484623324
17,-0.00121665430947553,-0.00457219935894094,0.0217364361672293,-80.110502618906,108.944885883745,0.00699267823411276,-0.00473130573666685,-0.00296277543259174,126.328180736591
17.2,-0.00135026985025196,-0.00436042027904739,0.0202296682112166,-68.0443242768944,124.257329277348,0.00785286427471021,-0.00456470078093031,-0.00317598153035681,118.705471515608
17.4,-0.00146514112567458,-0.00413510353689743,0.0186822135252622,-59.8366387829932,123.969427737977,0.00741690406262308,-0.00438699431946726,-0.00308712313313592,115.765327702348
17.6,-0.00157045869970216,-0.00392372810797922,0.0173359093377924,-57.7801505578399,109.12702064167,0.00588949869943178,-0.00422634383345755,-0.00273278312373787,117.900150647494
17.8,-0.00167857671005986,-0.00374966506535173,0.0163773575363797,-63.0016959774711,83.1807834526866,0.00359794212697295,-0.00410823653834797,-0.00197559371298422,127.140537771025
18,-0.00180255397382327,-0.0036283844190309,0.0159245450675351,-75.1197880708188,51.3385590638549,0.000887823780928443,-0.00405146569206488,-0.000559075118101128,145.650417117274
18.2,-0.001953338199638,-0.0035651090824835,0.016028846445775,-92.2015625540758,19.6274486328161,-0.00192207593107696,-0.00406516080233945,0.00116823738999899,167.98252027152
18.4,-0.00213716539490821,-0.0035542884985087,0.0166795949882966,-111.042223011233,-6.16275518022001,-0.00452423910810751,-0.00414734159257616,0.00233083866341812,-176.823388562872
18.6,-0.00235372964480929,-0.00358093504067667,0.0178027668002029,-127.725196275257,-21.4653992944714,-0.00658856175618894,-0.0042852232943751,0.0029146647041694,-170.460063292415
18.8,-0.00259554811595253,-0.00362353600003793,0.0192557905697172,-138.362815612532,-23.679417541289,-0.00776550335001502,-0.00445722816797029,0.00316959815161296,-170.288481998654
19,-0.00284872512072038,-0.00365798254493819,0.0208294931033275,-139.877203572458,-12.5434377954065,-0.00775546444020847,-0.0046363855377147,0.00316405691349883,-174.875727980661
19.2,-0.0030950486163814,-0.00366179252672516,0.0222693482862547,-130.667513886362,9.91402484863969,-0.00642489218887476,-0.00479458550787695,0.00280914661518183,175.661159072545
19.4,-0.00331508463379716,-0.00361787398956554,0.0233197784575454,-111.026137252982,39.8259053687364,-0.0039091175003847,-0.0049070151425693,0.00189885775742188,160.26671031777
19.6,-0.00349172266565243,-0.00351718311730206,0.0237820471018813,-83.2104134459236,72.2450333123506,-0.000636149382188478,-0.00495607747906239,0.000330760060465261,139.034796671717
19.8,-0.00361351133429918,-0.00335985126994355,0.0235659674679752,-51.1399498912112,102.06229167726,0.00275970296436157,-0.0049341731517105,-0.00138509429077959,116.613894715328
20,-0.00367713393016088,-0.00315464731991577,0.022714926543551,-19.7609821754344,124.912579123816,0.00560933734993085,-0.00484490591987121,-0.00254132619819846,98.9896066060348
20.2,-0.00368850951152703,-0.00291694816224998,0.0213937743433323,5.81526615806004,137.904510903798,0.00739513414416226,-0.00470251936681606,-0.00306976002397419,87.5853369685024
20.4,-0.00366224481657972,-0.00266565496515127,0.0198446653186262,21.2463089195551,140.047802183387,0.0078736742729113,-0.00452965269246501,-0.0031848042165074,81.3735759031712
20.6,-0.00361946247758805,-0.00241966752402958,0.0183288519601423,23.7913436385612,132.31263903121,0.00709065267407638,-0.00435376837827376,-0.00302202307160907,79.8064839260153
20.8,-0.00358433653588426,-0.00219458402263143,0.0170757442655374,12.8838946997632,117.326203277115,0.00529990915413414,-0.00420281661132793,-0.00257272381453896,83.7333109405681
21,-0.00357991932300262,-0.00200022187175212,0.0162531787789709,-9.67153315784673,98.7792820432688,0.00284413919820814,-0.00410081818347395,-0.00164185898166703,95.5920370391706
21.2,-0.00362399531616279,-0.00183937441347422,0.015959611128175,-39.9277552985034,80.66782596521,6.42339989127549e-05,-0.00406406694563991,-4.08887879088817e-05,116.333802038691
21.4,-0.0037257166044788,-0.00170796574143541,0.0162281850494344,-72.4196014040447,66.5209512424978,-0.00272619391975581,-0.00409854988248987,0.00158845282971779,137.431003207935
21.6,-0.00388365439237057,-0.0015964919960861,0.017030017149224,-101.082444987476,58.7637532879756,-0.00521423083134209,-0.00419899489480944,0.0025551434955464,149.82864478681
21.8,-0.00408566074034549,-0.00149239539206074,0.0182710704019698,-120.305440137511,58.3317416575942,-0.007059388932106,-0.00434969737906557,0.0030252040832094,154.132937055862
22,-0.00431061647736052,-0.00138285266160201,0.0197876757607874,-125.93204905742,64.6004823004827,-0.00791527441310791,-0.00452699634715167,0.00320424217510377,152.843134083148
22.2,-0.00453180213408282,-0.00125740222320521,0.0213531628739235,-116.026162479768,75.629961181582,-0.00751731338412753,-0.00470300870249708,0.00310984526904665,146.902267374497
22.4,-0.00472133084377255,-0.00110989237238571,0.0227061885153056,-91.2613052426568,88.6609846524549,-0.00580270777612668,-0.00485003357011836,0.00261299157000564,135.828007599288
22.6,-0.00485488074041744,-0.000939391599473325,0.0236008274398976,-54.8563160591757,100.752743073357,-0.0029962868749962,-0.00494492908455097,0.0014964858810861,118.566733755023
22.8,-0.00491589770766642,-0.000749927737460594,0.0238651832215358,-12.0616976510901,109.425687587476,0.000397364113620569,-0.00497276999208282,-0.000206809049800546,96.2901655750172
23,-0.00489852133189313,-0.000549168480088119,0.0234472644852713,30.7181261272673,113.176618111877,0.00371103124632555,-0.00492920859754122,-0.00181311614242878,74.8147481916689
23.2,-0.0048087043899152,-0.000346372140724591,0.0224295300005147,67.0149896923518,111.762347918945,0.0063000563529414,-0.00482116286761919,-0.00276996834295535,59.0522361739304
23.4,-0.00466331102846342,-0.00015008125573676,0.0210059762380238,91.4084219289668,106.198226278389,0.0077179204120057,-0.00466572542051338,-0.00315590098590606,49.2803032466856
23.6,-0.00448733475092372,3.3925213500742e-05,0.0194313698673399,100.461940671334,98.4779091189036,0.00780974581620342,-0.00448746295604457,-0.00318076179693721,44.4286068582238
23.8,-0.00430971033788602,0.000203970229803439,0.0179628767699086,93.3180367422073,91.0788757725594,0.00669501894208224,-0.00431453437308579,-0.00294173655688355,44.3042824520399
24,-0.00415844367930429,0.000362815319554102,0.0168142948303279,71.8460003186767,86.362586271845,0.00466760168528424,-0.00417424106854419,-0.00238056926654293,50.2425513964449
24.2,-0.00405590489898969,0.000516922299461556,0.0161332364494752,40.3162667409088,85.9999417986465,0.00207805282147433,-0.0040887129005751,-0.00125355228633749,64.8830928046045
24.4,-0.00401510107335839,0.00067480106537902,0.0159982292327807,4.65926231164859,90.5474863397952,-0.000739917174065852,-0.00407141163131401,0.000467579157247833,87.0543541621579
24.6,-0.00403757056482222,0.000844805333970749,0.0164237873246376,-28.5594908517116,99.2686174771958,-0.00347623540944042,-0.00412500567192278,0.00192819777331887,106.050478854866
24.8,-0.00411325312503943,0.00103286417116962,0.0173620664499685,-53.2663639818706,110.243211001626,-0.0058113233536119,-0.00424095032470767,0.00271946978699779,115.788503827047
25,-0.00422234061299309,0.00124066145564655,0.0186984396849444,-64.9100303327438,120.748734116237,-0.007398111379743,-0.00440084092058257,0.00309199560527047,118.260822194512
25.2,-0.00433876548933334,0.00146469193009592,0.0202489976617487,-61.2153848666235,127.838308810678,-0.00790360029100157,-0.00457932397149012,0.00319490612429946,115.587433892843
25.4,-0.00443470062664036,0.00169644685833373,0.0217728653690544,-42.5320040761857,128.998021492194,-0.00711143120800983,-0.00474810499059947,0.00299976894529747,108.247931237157
25.6,-0.00448527480670599,0.00192374909845732,0.0230075537826693,-11.7218029493785,122.746004028949,-0.00503890557770603,-0.00488042012034376,0.00234142459879796,95.454999084974
25.8,-0.00447268277544966,0.00213301335730335,0.0237234025025249,26.3866986752426,109.043800617499,-0.00199966825013576,-0.00495526355669984,0.00102122814214014,76.3969090730261
26,-0.0043889897526351,0.00231200221487039,0.0237806340215441,65.8733257354435,89.4251602316422,0.0014375610847992,-0.0049607040814997,-0.000741581766734741,53.6234962969308
26.2,-0.00423717406182952,0.00245252499390157,0.0231673655213226,100.769349160224,66.8022051531809,0.00459271515578052,-0.0048957658212934,-0.00217652206345616,33.5412683278748
26.4,-0.00403027225111633,0.00255251195527887,0.0220029316159737,126.080747657643,44.9733551493965,0.00686516032800455,-0.00477057765656547,-0.00293844079792126,19.6314594931604
26.6,-0.00378882953703795,0.00261699667129834,0.0205050852690995,138.611150426665,27.9187799060258,0.00789081972905592,-0.00460476933488314,-0.00319750402928599,11.3880314061927
26.8,-0.00353715309651299,0.00265773803375141,0.0189347111064415,137.444021131733,19.0152271787579,0.00760305657129834,-0.00442436698731673,-0.00313955423145244,7.87680611161872
27,-0.00329906412323957,0.00269147356130375,0.0175394492007817,124.008343588497,20.323335759567,0.00618565206329436,-0.00425768177641648,-0.00282034234565945,9.30728510794652
27.2,-0.00309391266583018,0.0027370677758214,0.0165143405337541,101.7291320294,32.0921836894638,0.00396019689893023,-0.00413083951239836,-0.00212712307692906,17.5087656701148
27.4,-0.00293354761194837,0.00281205012669202,0.0159858371707667,75.3391256094233,52.5887368210723,0.0012763374279956,-0.00406365933049754,-0.000795933538192507,34.9160774281203
27.6,-0.00282073919379152,0.00292917971339492,0.0160127307163582,49.9872632960603,78.3005645293283,-0.00154209251556381,-0.00406652961398543,0.000951119507873521,57.4457440327213
27.8,-0.00274927188117461,0.00309369829670225,0.0165911934034373,30.3123674677824,104.489641624052,-0.00418743735481186,-0.00413877578134179,0.00220521790658211,73.8225952562334
28,-0.00270561510450962,0.00330183041777245,0.0176545051837484,19.6513919070809,126.006625846843,-0.00633351027357065,-0.00426877465762806,0.00284547957051858,81.1358283442937
28.2,-0.00267179604819285,0.00354087577333493,0.0190680309263687,19.5211665630065,138.221922934722,-0.00763180268106822,-0.00443579698175907,0.00313245057271917,81.9612479397704
28.4,-0.00262889449709908,0.00379095196349982,0.0206297577959818,29.4572070181913,137.902680461105,-0.00777269378092527,-0.00461328545436997,0.00315814992462277,77.9423372442885
28.6,-0.00256049014428965,0.00402813792651542,0.0220888474733337,47.2238162536216,123.869394632022,-0.00659816298531979,-0.00477304980452772,0.00285176590523871,69.1312137400655
28.8,-0.00245543123174502,0.00422849759234979,0.023187414523933,69.3397684805142,97.30194363508,-0.00420942003641755,-0.00488971716016613,0.00201858303898765,54.5253890769592
29,-0.00230944880018641,0.00437228161432711,0.023717553235117,91.806550864166,61.6264449354775,-0.0010022665634466,-0.00494473457391255,0.000519348682676001,33.8720453638645
29.2,-0.00212538021578375,0.00444754887699284,0.0235747484020997,110.892007597444,21.9903071519165,0.00240654223007652,-0.00492929325789033,-0.00121966429952929,11.216455178525
