Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Roll [deg],Pitch [deg],Yaw [deg]
111,6378248,-296.008850331423,390.024884428425,0.999999992888032,-1.88634599817774,-13.712735666323,-0.0044172047149108,4.12899768217466,-172.167684048318
112,6378249,-297.849391784039,376.567499873212,0.999999992888037,-1.83904801869066,-13.1536986051585,-0.00433083883847064,4.30278310877891,-172.041176145066
113,6378250,-299.776379623019,363.807073669643,0.999999992888036,-2.05963190497087,-12.3262567995639,-0.0042516373456682,4.57215957302413,-170.514165384297
114,6378251,-302.056768045165,351.988043448859,0.999999992888036,-2.54412796655546,-11.2799156112173,-0.00418273294411622,4.94017731539178,-167.290190806643
115,6378252,-304.94719243893,341.301057786174,0.999999992888036,-3.27588251411407,-10.0723074522719,-0.00412684684350182,5.39145374785404,-161.983916888365
116,6378253,-308.681429640984,331.87621668141,0.999999992888038,-4.22594773665443,-8.76641468977799,-0.00408618029465174,5.86536694119286,-154.263481959817
117,6378254,-313.458549804232,323.77919242247,0.999999992888036,-5.35407170458615,-7.42760900479404,-0.00406232732322854,6.23218101186092,-144.21509842295
118,6378255,-319.432345132563,317.010344543252,0.999999992888035,-6.6102539563094,-6.12064739500799,-0.00405621084521116,6.33423341596155,-132.798047269042
119,6378256,-326.702572068828,311.506801955101,0.999999992888037,-7.93680419600369,-4.9067647806065,-0.00406804669059761,6.11797884153624,-121.725992888467
120,6378257,-335.308468116932,307.147348243611,0.999999992888036,-9.27081630733354,-3.84099635397965,-0.00409733498300772,5.69252441650743,-112.505110332529
121,6378258,-345.224905583365,303.759818995906,0.999999992888036,-10.5469484272025,-2.96984980317272,-0.00414288029452734,5.2168931239377,-105.726677784738
122,6378259,-356.361426557695,301.130608727109,0.999999992888036,-11.700383306483,-2.32942902665682,-0.00420283985200169,4.79406549953207,-101.260064981903
123,6378260,-368.564271806385,299.015794557118,0.999999992888036,-12.6698324640313,-1.94408788833159,-0.00427479664724992,4.46373293839724,-98.7238031082657
124,6378261,-381.621377041775,297.153318244163,0.999999992888035,-13.4004432986415,-1.82566609123921,-0.00435585667107448,4.23186473693687,-97.7583993947161
125,6378262,-395.270169793602,295.275630269132,0.999999992888035,-13.846470642334,-1.97333068157849,-0.00444276398377028,4.09272071373501,-98.1111188844076
126,6378263,-409.207865523402,293.122190788392,0.999999992888036,-13.9735831818128,-2.37401742501392,-0.00453203076505409,4.03886139805355,-99.6423285374078
127,6378264,-423.103839156808,290.451242427728,0.999999992888181,-13.7606903899578,-3.00343773819695,-0.00462007631906186,4.06429871953093,-102.31264867633
128,6378265,-436.61354383275,287.050317676196,0.99999999288819,-13.2011964397468,-3.82759037489232,-0.00470337005280032,4.1642269393988,-106.169390992041
129,6378266,-449.393367553305,282.745016342654,0.99999999288819,-12.3036130879853,-4.80469390988103,-0.00477857186216663,4.33237289821745,-111.331474299376
130,6378267,-461.115764684595,277.405682276546,0.999999992888191,-11.0914925547311,-5.88743731280884,-0.00484266553649783,4.55565869713098,-117.959988340873
131,6378268,-471.483975773143,270.951718475121,0.999999992888192,-9.60267264587926,-7.0254324129749,-0.00489307851675959,4.8061658399442,-126.190034072384
